state,year,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Rajasthan,2014,26.66,552.2,48.2
Rajasthan,2015,27.03,540.9,46.7
Rajasthan,2016,27.58,476.0,46.3
Rajasthan,2017,27.18,670.1,47.4
Rajasthan,2018,26.84,794.7,47.8
Rajasthan,2019,27.26,873.8,49.5
Rajasthan,2020,26.91,631.0,46.6
Bihar,1997,25.69,1303.7,69.4
Bihar,1998,25.35,1332.5,70.0
Bihar,1999,25.65,1402.7,67.9
Bihar,2000,25.57,1207.0,65.7
Bihar,2001,25.95,1247.0,68.0
Bihar,2002,25.6,1105.8,65.8
Bihar,2003,25.71,1353.9,70.2
Bihar,2004,25.83,1147.8,65.7
Bihar,2005,25.95,907.8,66.4
Bihar,2006,25.42,1052.8,67.1
Bihar,2007,25.71,1600.2,69.9
Bihar,2008,26.31,1197.7,69.0
Bihar,2009,26.03,889.3,65.3
Bihar,2010,26.72,629.2,65.8
Bihar,2011,26.04,1097.1,67.3
Bihar,2012,26.17,924.1,66.6
Bihar,2013,25.98,1069.9,66.6
Bihar,2014,26.11,1061.0,66.6
Bihar,2015,26.07,874.0,66.7
Bihar,2016,26.05,1205.6,69.5
Bihar,2017,25.63,1112.0,68.7
Bihar,2018,26.26,1521.4,66.3
Bihar,2019,26.09,1194.7,67.2
Bihar,2020,26.11,974.4,65.6
West Bengal,1997,26.41,1852.9,80.1
West Bengal,1998,26.21,2152.5,80.9
West Bengal,1999,25.69,2318.1,80.0
West Bengal,2000,26.19,1907.7,77.7
West Bengal,2001,26.4,1556.6,77.7
West Bengal,2002,26.17,1629.1,79.1
West Bengal,2003,26.4,1526.7,77.4
West Bengal,2004,26.53,1612.9,76.8
West Bengal,2005,26.42,1650.1,79.0
West Bengal,2006,26.27,1631.4,78.6
West Bengal,2007,25.95,2007.5,80.6
West Bengal,2008,26.36,1560.1,77.3
West Bengal,2009,26.72,1317.2,76.3
West Bengal,2010,26.34,1096.0,74.5
West Bengal,2011,26.53,1686.5,76.9
West Bengal,2012,26.82,1566.0,75.5
West Bengal,2013,26.68,1939.9,79.5
West Bengal,2014,26.53,1483.5,77.0
West Bengal,2015,26.55,1717.0,78.5
West Bengal,2016,26.68,1795.8,78.9
West Bengal,2017,26.5,1830.0,78.5
West Bengal,2018,26.4,2012.6,79.9
West Bengal,2019,26.2,1733.4,76.9
West Bengal,2020,26.85,1103.4,76.1
Odisha,1997,26.81,1496.6,76.2
Odisha,1998,26.77,1357.1,74.3
Odisha,1999,26.89,1484.3,74.5
Odisha,2000,27.12,1066.0,72.2
Odisha,2001,27.02,1672.5,76.9
Odisha,2002,27.11,1102.8,75.5
Odisha,2003,27.19,1648.2,77.5
Odisha,2004,26.66,1290.4,73.5
Odisha,2005,26.83,1503.4,75.8
Odisha,2006,27.0,1716.9,75.6
Odisha,2007,26.98,1633.8,75.3
Odisha,2008,26.88,1539.0,74.2
Odisha,2009,26.92,1330.3,73.5
Odisha,2010,26.95,1291.9,76.3
Odisha,2011,26.95,1346.2,78.4
Odisha,2012,27.23,1430.2,75.7
Odisha,2013,26.9,1632.4,77.1
Odisha,2014,27.01,1536.9,76.0
Odisha,2015,27.79,1210.1,74.6
Odisha,2016,27.43,1460.5,74.8
Odisha,2017,27.26,1344.4,77.3
Odisha,2018,27.04,1635.9,78.4
Odisha,2019,27.34,1593.9,75.4
Odisha,2020,27.62,1096.8,75.1
Assam,1997,23.47,2051.4,84.8
Assam,1998,23.63,2354.4,86.7
Assam,1999,23.88,2201.8,86.4
Assam,2000,23.61,1965.5,85.8
Assam,2001,24.07,1824.7,85.6
Assam,2002,24.13,1973.6,86.4
Assam,2003,23.93,2213.7,86.2
Assam,2004,23.39,2536.9,87.9
Assam,2005,23.93,2184.6,86.5
Assam,2006,23.81,1774.9,83.4
Assam,2007,24.15,2154.1,86.0
Assam,2008,24.11,2109.9,85.9
Assam,2009,24.16,1727.1,85.7
Assam,2010,23.73,2578.5,87.6
Assam,2011,24.09,1743.4,84.1
Assam,2012,23.97,2167.5,86.4
Assam,2013,24.11,1797.7,86.3
Assam,2014,24.0,1899.0,84.9
Assam,2015,24.01,2155.3,87.8
Assam,2016,24.1,2296.8,87.8
Assam,2017,23.86,2098.6,86.2
Assam,2018,24.25,2372.9,86.9
Assam,2019,24.42,2084.7,85.2
Assam,2020,24.59,2328.2,86.2
Chhattisgarh,1997,26.45,849.5,66.4
Chhattisgarh,1998,26.03,1008.0,64.7
Chhattisgarh,1999,25.9,1131.7,64.3
Chhattisgarh,2000,26.05,896.4,64.6
Chhattisgarh,2001,26.01,1550.0,68.8
Chhattisgarh,2002,26.0,1001.4,66.2
Chhattisgarh,2003,25.92,1643.7,67.2
Chhattisgarh,2004,26.33,1122.8,64.1
Chhattisgarh,2005,26.22,1292.7,66.2
Chhattisgarh,2006,26.25,1317.2,66.5
Chhattisgarh,2007,26.69,1246.2,65.1
Chhattisgarh,2008,26.17,1117.9,64.7
Chhattisgarh,2009,26.25,956.9,64.1
Chhattisgarh,2010,26.48,1283.1,67.7
Chhattisgarh,2011,26.14,1302.7,65.1
Chhattisgarh,2012,26.35,1366.8,65.6
Chhattisgarh,2013,26.38,1418.3,66.7
Chhattisgarh,2014,26.03,1274.7,67.8
Chhattisgarh,2015,26.76,1136.0,64.7
Chhattisgarh,2016,26.28,1298.9,66.4
Chhattisgarh,2017,26.52,1124.5,66.2
Chhattisgarh,2018,26.72,1515.5,66.6
Chhattisgarh,2019,26.21,1420.3,64.8
Chhattisgarh,2020,26.55,1015.0,67.2
Jharkhand,1997,25.51,845.2,65.4
Jharkhand,1998,25.88,1110.7,65.8
Jharkhand,1999,25.58,1183.0,67.5
Jharkhand,2000,25.44,1346.8,66.8
Jharkhand,2001,25.65,1124.1,67.4
Jharkhand,2002,25.58,1041.2,67.4
Jharkhand,2003,25.65,1258.3,68.6
Jharkhand,2004,25.61,1149.2,66.3
Jharkhand,2005,25.6,965.2,67.3
Jharkhand,2006,25.23,1465.1,68.1
Jharkhand,2007,25.34,1444.7,67.6
Jharkhand,2008,25.76,1295.2,67.3
Jharkhand,2009,25.65,996.1,64.4
Jharkhand,2010,25.93,694.6,65.7
Jharkhand,2011,25.96,1374.7,66.9
Jharkhand,2012,25.7,1102.0,66.7
Jharkhand,2013,25.93,1253.6,66.8
Jharkhand,2014,25.73,1156.6,67.3
Jharkhand,2015,25.76,1085.6,65.8
Jharkhand,2016,25.7,1296.3,68.3
Jharkhand,2017,25.53,1165.7,66.7
Jharkhand,2018,25.59,1222.7,68.2
Jharkhand,2019,25.48,1137.8,65.8
Jharkhand,2020,26.14,1081.4,66.2
Himachal Pradesh,1997,17.94,842.9,58.7
Himachal Pradesh,1998,16.93,1381.6,62.9
Himachal Pradesh,1999,17.38,1144.9,60.3
Himachal Pradesh,2000,17.67,1068.4,61.5
Himachal Pradesh,2001,17.5,918.1,59.2
Himachal Pradesh,2002,17.82,890.8,61.4
Himachal Pradesh,2003,17.56,1112.6,63.6
Himachal Pradesh,2004,17.45,939.2,59.0
Himachal Pradesh,2005,17.42,1248.1,61.8
Himachal Pradesh,2006,17.65,1207.0,61.4
Himachal Pradesh,2007,17.73,1095.4,59.8
Himachal Pradesh,2008,17.87,1357.1,62.2
Himachal Pradesh,2009,17.98,969.9,61.3
Himachal Pradesh,2010,17.72,1319.8,62.8
Himachal Pradesh,2011,17.83,1108.3,62.2
Himachal Pradesh,2012,18.05,1035.0,61.4
Himachal Pradesh,2013,17.88,1216.9,61.7
Himachal Pradesh,2014,18.12,1019.9,60.3
Himachal Pradesh,2015,18.13,1223.2,61.7
Himachal Pradesh,2016,17.44,1373.9,62.5
Himachal Pradesh,2017,17.69,1182.2,62.6
Himachal Pradesh,2018,17.77,1052.2,60.6
Himachal Pradesh,2019,17.48,1217.7,61.2
Himachal Pradesh,2020,17.68,913.4,61.6
Uttarakhand,1997,19.92,923.4,62.6
Uttarakhand,1998,19.8,1036.6,62.7
Uttarakhand,1999,19.89,1302.5,64.8
Uttarakhand,2000,19.7,1413.4,65.7
Uttarakhand,2001,19.26,1541.3,65.6
Uttarakhand,2002,19.52,1610.3,64.9
Uttarakhand,2003,19.57,1734.3,68.7
Uttarakhand,2004,19.98,1219.6,64.1
Uttarakhand,2005,19.93,1353.3,66.9
Uttarakhand,2006,20.09,1178.9,64.7
Uttarakhand,2007,19.5,1924.3,68.1
Uttarakhand,2008,19.95,1363.7,66.3
Uttarakhand,2009,20.23,847.8,64.7
Uttarakhand,2010,19.79,1419.0,67.0
Uttarakhand,2011,19.89,1564.7,68.5
Uttarakhand,2012,19.84,1309.8,67.2
Uttarakhand,2013,19.87,1735.4,65.8
Uttarakhand,2014,19.93,1287.4,64.6
Uttarakhand,2015,20.15,1247.6,65.5
Uttarakhand,2016,19.83,1580.9,66.0
Uttarakhand,2017,20.44,1475.8,67.7
Uttarakhand,2018,20.16,1373.0,65.4
Uttarakhand,2019,20.11,1378.9,66.1
Uttarakhand,2020,19.93,1313.9,64.8
Jammu and Kashmir,1997,13.72,1356.2,59.7
Jammu and Kashmir,1998,14.09,1078.3,60.2
Jammu and Kashmir,1999,14.13,667.1,55.1
Jammu and Kashmir,2000,14.31,989.5,59.2
Jammu and Kashmir,2001,14.64,953.8,57.3
Jammu and Kashmir,2002,14.54,933.2,57.7
Jammu and Kashmir,2003,14.11,1430.3,60.6
Jammu and Kashmir,2004,14.46,1032.1,56.2
Jammu and Kashmir,2005,14.37,1721.8,62.2
Jammu and Kashmir,2006,13.94,1786.5,61.2
Jammu and Kashmir,2007,14.48,1042.2,58.5
Jammu and Kashmir,2008,14.15,1390.1,58.6
Jammu and Kashmir,2009,14.53,751.7,58.5
Jammu and Kashmir,2010,14.43,1352.0,58.8
Jammu and Kashmir,2011,14.68,887.6,54.2
Jammu and Kashmir,2012,14.68,1116.7,56.3
Jammu and Kashmir,2013,14.37,1193.8,57.3
Jammu and Kashmir,2014,14.17,1278.4,60.4
Jammu and Kashmir,2015,14.24,1572.6,60.4
Jammu and Kashmir,2016,14.61,902.8,58.2
Jammu and Kashmir,2017,14.5,1279.1,57.4
Jammu and Kashmir,2018,14.81,1016.3,57.5
Jammu and Kashmir,2019,14.2,1324.1,58.6
Jammu and Kashmir,2020,14.77,1148.9,58.1
Goa,1997,26.66,3680.3,88.0
Goa,1998,27.45,2964.9,86.3
Goa,1999,26.77,3879.3,90.3
Goa,2000,26.75,3886.9,88.8
Goa,2001,27.23,2530.6,84.3
Goa,2002,27.29,2516.3,85.2
Goa,2003,27.13,3011.6,86.9
Goa,2004,27.32,2518.0,84.4
Goa,2005,26.6,3392.8,88.5
Goa,2006,27.28,2928.8,86.9
Goa,2007,26.35,3674.7,90.9
Goa,2008,27.08,3271.6,88.3
Goa,2009,26.9,3334.9,87.9
Goa,2010,26.57,4193.3,89.4
Goa,2011,27.53,3340.4,87.0
Goa,2012,27.32,3048.9,87.2
Goa,2013,27.16,3642.6,88.4
Goa,2014,27.22,3491.2,90.6
Goa,2015,27.51,2587.1,84.8
Goa,2016,27.48,3266.9,88.3
Goa,2017,27.73,2772.5,86.0
Goa,2018,26.63,4406.0,92.9
Goa,2019,26.61,4489.5,91.6
Goa,2020,27.79,2155.1,83.4
Tripura,1997,24.82,1921.6,85.2
Tripura,1998,24.62,2472.9,84.9
Tripura,1999,24.87,2147.4,85.4
Tripura,2000,24.34,2437.5,85.7
Tripura,2001,24.81,2284.4,84.1
Tripura,2002,24.84,2579.8,85.3
Tripura,2003,24.65,2487.9,85.0
Tripura,2004,24.56,2706.3,84.7
Tripura,2005,24.67,1765.9,84.6
Tripura,2006,24.8,1764.3,81.5
Tripura,2007,24.14,2831.8,85.6
Tripura,2008,24.72,1827.8,84.9
Tripura,2009,25.14,2004.2,82.7
Tripura,2010,25.27,2348.3,85.9
Tripura,2011,24.8,2295.6,81.5
Tripura,2012,25.51,1882.2,81.4
Tripura,2013,24.67,2043.5,84.9
Tripura,2014,25.52,2015.7,85.2
Tripura,2015,25.04,2334.4,85.4
Tripura,2016,25.06,2475.3,86.1
Tripura,2017,24.63,3326.8,88.3
Tripura,2018,25.04,2169.1,83.2
Tripura,2019,24.98,2252.8,82.4
Tripura,2020,24.88,2207.6,82.9
Meghalaya,1997,19.41,3818.2,95.5
Meghalaya,1998,18.48,6552.7,98.0
Meghalaya,1999,18.26,6200.3,98.0
Meghalaya,2000,18.26,6258.8,98.0
Meghalaya,2001,19.39,4241.0,94.2
Meghalaya,2002,19.28,4355.3,94.1
Meghalaya,2003,19.57,3321.3,92.5
Meghalaya,2004,18.81,4767.9,97.7
Meghalaya,2005,19.71,3374.4,93.0
Meghalaya,2006,20.14,2454.7,90.7
Meghalaya,2007,19.24,4702.0,96.4
Meghalaya,2008,19.9,3114.3,92.1
Meghalaya,2009,19.95,2995.9,91.0
Meghalaya,2010,19.77,3119.7,90.6
Meghalaya,2011,19.27,4083.1,96.9
Meghalaya,2012,19.77,2945.3,90.0
Meghalaya,2013,20.1,2448.4,90.1
Meghalaya,2014,19.79,3484.4,94.2
Meghalaya,2015,19.58,3870.8,94.4
Meghalaya,2016,19.58,3837.1,96.5
Meghalaya,2017,19.27,4472.3,96.5
Meghalaya,2018,19.19,5649.1,98.0
Meghalaya,2019,19.77,3844.4,93.8
Meghalaya,2020,20.44,2218.9,89.4
Manipur,1997,21.22,2053.3,81.0
Manipur,1998,20.6,1855.0,80.9
Manipur,1999,21.32,2092.7,80.9
Manipur,2000,21.2,1969.7,83.4
Manipur,2001,20.76,2013.1,82.2
Manipur,2002,21.33,1743.7,80.1
Manipur,2003,21.4,687.7,76.2
Manipur,2004,20.89,1613.3,79.4
Manipur,2005,20.88,1585.4,80.1
Manipur,2006,21.01,1533.6,80.1
Manipur,2007,20.91,1435.7,79.9
Manipur,2008,21.53,1134.8,76.1
Manipur,2009,21.52,992.5,79.4
Manipur,2010,20.75,2160.5,84.1
Manipur,2011,21.35,1533.6,79.0
Manipur,2012,21.42,1176.7,79.3
Manipur,2013,21.36,1428.8,80.1
Manipur,2014,21.36,987.5,78.2
Manipur,2015,21.15,1329.1,79.0
Manipur,2016,20.98,2039.8,80.8
Manipur,2017,21.54,1780.0,82.0
Manipur,2018,21.66,1196.9,77.4
Manipur,2019,21.8,1203.9,78.9
Manipur,2020,21.66,1198.0,78.9
Nagaland,1997,20.58,1398.5,82.6
Nagaland,1998,20.59,1498.0,83.6
Nagaland,1999,20.72,1782.2,82.8
Nagaland,2000,20.34,1631.8,81.0
Nagaland,2001,20.77,1532.0,81.5
Nagaland,2002,20.25,1536.6,83.3
Nagaland,2003,21.13,1709.8,83.5
Nagaland,2004,20.82,1711.5,83.6
Nagaland,2005,20.71,1568.6,84.1
Nagaland,2006,20.78,1362.5,82.6
Nagaland,2007,20.76,1769.0,82.9
Nagaland,2008,21.0,1540.9,82.7
Nagaland,2009,20.8,1225.9,82.4
Nagaland,2010,20.57,1771.8,83.7
Nagaland,2011,20.86,1544.4,84.2
Nagaland,2012,21.08,1296.6,82.0
Nagaland,2013,21.14,1350.9,83.9
Nagaland,2014,21.12,1333.3,82.2
Nagaland,2015,20.77,1308.3,80.8
